City,Date,PM2.5,PM10,NO,NO2,NOx,NH3,CO,SO2,O3,Benzene,Toluene,Xylene,AQI
Mumbai,1/1/2019,79.78,221.85,62.98,66.11,129.08,,2.75,21.88,45.29,2.76,,,
Mumbai,1/2/2019,80.41,232.04,82.29,64.04,146.33,,3.14,26.7,53.3,3.04,,,
Mumbai,1/3/2019,103.76,295.76,83.94,58.71,142.66,,3.65,25.44,68.37,4.09,,,
Mumbai,1/4/2019,84.61,250.62,80.09,59.75,139.85,,3.5,23,68.82,3.37,,,
Mumbai,1/5/2019,75.92,216.49,61.9,64.59,126.48,,2.76,24.93,63.06,2.5,,,
Mumbai,1/6/2019,81.14,233.06,49.18,60,109.19,,2.76,21.49,62.05,2.2,,,
Mumbai,1/7/2019,52.78,164.07,41.1,67.79,99.42,,2.18,22.27,48.85,1.48,,,
Mumbai,1/8/2019,57.44,177.25,54.09,56.98,111.08,,2.75,32.25,67.66,2.44,,,
Mumbai,1/9/2019,71.68,199.89,57.69,48.59,106.29,,2.49,21.75,85.19,2.56,,,
Mumbai,1/10/2019,84.32,250.65,70.11,50.68,120.77,,3.01,18.86,69.71,3.2,,,
Mumbai,1/11/2019,85.51,240.04,77.9,47.07,124.97,,3.32,32.67,71.31,3.09,,,
Mumbai,1/12/2019,76.86,237.89,55.52,49.1,102.22,,2.76,34.55,78.82,2.55,,,
Mumbai,1/13/2019,75.79,235.95,63,35.42,98.42,,3.11,30.85,76.64,2.66,,,
Mumbai,1/14/2019,66.32,191.3,37.01,44.04,81.05,,2.37,25.59,72.08,1.57,,,
Mumbai,1/15/2019,68.1,188.89,52.24,50.99,103.22,,2.53,28.78,72.52,1.7,,,
Mumbai,1/16/2019,69.37,194.79,62.3,48.31,110.55,,2.56,27.31,65.72,1.9,,,
Mumbai,1/17/2019,83.31,245.52,118.84,48.1,166.94,,3.25,27.92,32.31,2.7,,,
Mumbai,1/18/2019,84.99,231.12,69.76,52.87,122.63,,2.99,26.39,32.51,2.18,,,
Mumbai,1/19/2019,82.07,254.54,94.63,50.15,144.78,,3.3,35.06,29.55,2.45,,,
Mumbai,1/20/2019,93.45,285.55,79.17,26.93,106.1,,3.34,35.52,33.76,3.13,,,
Mumbai,1/21/2019,51,132.19,38.08,17.6,55.68,,2.1,28.3,20.34,1.17,,,
Mumbai,1/22/2019,34.26,109.43,36.32,35.26,71.55,,1.94,22.76,25.59,1.03,,,
Mumbai,1/23/2019,26.04,113.83,26.82,41.97,68.62,,1.65,21.92,29.55,0.67,,,
Mumbai,1/24/2019,53.38,150.95,23.5,70.2,93.7,,1.78,18.37,37.42,0.7,,,
Mumbai,1/25/2019,47.4,135.35,22.96,79.41,102.36,,1.83,12.39,52.07,0.84,,,
Mumbai,1/26/2019,38.28,122.56,40.28,72.66,112.93,,1.84,12.89,54.64,0.91,,,
Mumbai,1/27/2019,36.88,117.84,17.56,68.41,85.97,,1.79,10.85,34.26,0.79,,,
Mumbai,1/28/2019,46.01,121.37,11.12,13.44,16.51,,2.29,12.57,35.58,1.4,,,
Mumbai,1/29/2019,47.42,125.09,40.19,38.05,78.24,,2.12,14.45,40.56,1.82,,,
Mumbai,1/30/2019,51.55,173.72,,30.95,,,2.83,17.46,48.14,2.19,,,
Mumbai,1/31/2019,51.24,174.07,,37.75,,,2.93,24.08,47.64,4.26,,,
Mumbai,2/1/2019,48.04,153.71,,34.62,,,2.3,17.87,59.04,1.68,,,
Mumbai,2/2/2019,50.63,184.82,,32.21,,,2.27,17.97,59.69,1.88,,,
Mumbai,2/3/2019,73.37,257.39,,34.17,,,3.21,22.13,72.76,3.42,,,
Mumbai,2/4/2019,66.26,217.26,54.58,17.9,72.48,,3.25,22.36,56.12,3.16,,,
Mumbai,2/5/2019,65.62,209.61,27.48,30.45,57.93,,2.73,19.76,70.86,2.9,,,
Mumbai,2/6/2019,43.34,146.7,38.78,23.77,62.55,,1.88,14.66,65.06,1.02,,,
Mumbai,2/7/2019,18.67,94.56,40.78,24.61,60.36,,1.59,12.31,44.44,0.59,,,
Mumbai,2/8/2019,52.26,203.43,50.54,36.41,86.93,,1.64,13.66,38.51,0.64,,,
Mumbai,2/9/2019,72.35,188.49,85.9,34.58,118.31,,2,20.72,32.65,1.26,,,
Mumbai,2/10/2019,86.52,222.61,31.02,30.53,61.57,,2.84,26.28,55.92,3.1,,,
Mumbai,2/11/2019,101.67,261.7,39.3,34.5,73.67,,3.17,25.97,69.16,2.93,,,
Mumbai,2/12/2019,94.74,221.18,95.62,45.67,141.28,,3.27,24.49,55.38,3.13,,,
Mumbai,2/13/2019,78.47,152.16,73.92,34.45,108.37,,2.6,21.96,56.51,2.46,,,
Mumbai,2/14/2019,49.64,100.42,59.57,32.54,92.13,,1.91,16.76,56.4,0.84,,,
Mumbai,2/15/2019,47.74,119.49,43.85,30.95,74.8,,1.86,15.42,68.09,0.92,,,
Mumbai,2/16/2019,52.57,130.57,64.01,37.75,101.77,,2.16,17.91,58.37,1.58,,,
Mumbai,2/17/2019,59.84,168.11,61.17,34.62,95.79,,2.37,19.85,90.64,1.69,,,
Mumbai,2/18/2019,54.99,136.62,47.99,32.21,80.21,,2.25,19.18,83.46,1.31,,,
Mumbai,2/19/2019,49.87,120.19,50.63,34.17,84.8,,2.19,18.32,76.99,1.29,,,
Mumbai,2/20/2019,64.73,182.68,58.01,28.4,86.42,,3,22.73,101.76,4,,,
Mumbai,2/21/2019,35.61,84.13,32.41,20.68,53.1,,1.67,17,70.35,0.49,,,
Mumbai,2/22/2019,38.3,103.84,37.16,21.65,58.81,,1.85,16.77,56.96,0.78,,,
Mumbai,2/23/2019,58.39,196.31,53.85,32.52,86.39,,2.51,21.28,78.9,1.92,,,
Mumbai,2/24/2019,31.67,126.11,41.11,22.27,63.4,,1.84,18.07,62.79,0.9,,,
Mumbai,2/25/2019,35.64,118,54.25,26.2,80.36,,1.97,15.66,57,0.98,,,
Mumbai,2/26/2019,27.8,116.06,45.93,24.5,70.45,,1.69,8.13,45.78,0.56,,,
Mumbai,2/27/2019,22.69,109.49,54.48,18.29,72.77,,1.72,7.67,37.63,0.78,,,
Mumbai,2/28/2019,49.14,133.69,57.22,13.9,71.12,,1.92,10,49.84,1.12,,,
Mumbai,3/1/2019,41.12,150.77,90.27,38.66,128.94,,2.35,17.55,70.34,2.53,,,
Mumbai,3/2/2019,49.77,203.42,108.87,35.35,144.24,,2.78,15.04,72.01,3.01,,,
Mumbai,3/3/2019,15.85,58.71,35.64,12.5,48.15,,1.64,7.53,63.43,0.43,,,
Mumbai,3/4/2019,16.82,81.35,41.82,7.43,49.26,,1.64,7.72,73.28,0.36,,,
Mumbai,3/5/2019,22.15,126.58,29.85,5.5,35.35,,1.54,6.83,76.26,0.31,,,
Mumbai,3/6/2019,23.44,92.09,37.33,10.1,47.44,,1.67,7.12,80.67,0.38,,,
